Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2014-11-10,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-10,2014-11-10
2014-11-11,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-11,2014-11-11
2014-11-12,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-12,2014-11-12
2014-11-13,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-13,2014-11-13
2014-11-14,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-14,2014-11-14
2014-11-15,,,,,495.0,,,,,,,0.0,,Hold,2014-11-15,2014-11-15
2014-11-16,,,,,495.0,,,,,,,0.0,,Hold,2014-11-16,2014-11-16
2014-11-17,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-17,2014-11-17
2014-11-18,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-18,2014-11-18
2014-11-19,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-19,2014-11-19
2014-11-20,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-20,2014-11-20
2014-11-21,495.0,495.0,495.0,,495.0,,,,,,,0.0,,Hold,2014-11-21,2014-11-21
2014-11-22,,,,,495.0,,,,,,,0.0,,Hold,2014-11-22,2014-11-22
2014-11-23,,,,,495.0,,,,100.0,,,0.0,,Sell,2014-11-23,2014-11-23
2014-11-24,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-11-24,2014-11-24
2014-11-25,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-11-25,2014-11-25
2014-11-26,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-11-26,2014-11-26
2014-11-27,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-11-27,2014-11-27
2014-11-28,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-11-28,2014-11-28
2014-11-29,,,,,495.0,,,,100.0,,,0.0,,Sell,2014-11-29,2014-11-29
2014-11-30,,,,,495.0,,,,100.0,,,0.0,,Sell,2014-11-30,2014-11-30
2014-12-01,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-12-01,2014-12-01
2014-12-02,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-12-02,2014-12-02
2014-12-03,,,,,495.0,,,,100.0,,,0.0,,Sell,2014-12-03,2014-12-03
2014-12-04,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-12-04,2014-12-04
2014-12-05,495.0,495.0,495.0,,495.0,,,,100.0,,,0.0,,Sell,2014-12-05,2014-12-05
2014-12-06,,,,,495.0,,,,100.0,,,0.0,,Sell,2014-12-06,2014-12-06
2014-12-07,,,,,495.0,,,,100.0,,,,,Sell,2014-12-07,2014-12-07
2014-12-08,,,,,495.0,,,,100.0,,,,,Sell,2014-12-08,2014-12-08
2014-12-09,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-09,2014-12-09
2014-12-10,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-10,2014-12-10
2014-12-11,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-11,2014-12-11
2014-12-12,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-12,2014-12-12
2014-12-13,,,,,495.0,,,,100.0,,,,,Sell,2014-12-13,2014-12-13
2014-12-14,,,,,495.0,,,,100.0,,,,,Sell,2014-12-14,2014-12-14
2014-12-15,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-15,2014-12-15
2014-12-16,495.0,495.0,495.0,,495.0,,,,100.0,,,,,Sell,2014-12-16,2014-12-16
2014-12-17,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-17,2014-12-17
2014-12-18,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-18,2014-12-18
2014-12-19,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-19,2014-12-19
2014-12-20,,,,,495.0,,,,100.0,0.0,,,,Sell,2014-12-20,2014-12-20
2014-12-21,,,,,495.0,,,,100.0,0.0,,,,Sell,2014-12-21,2014-12-21
2014-12-22,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-22,2014-12-22
2014-12-23,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-23,2014-12-23
2014-12-24,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-24,2014-12-24
2014-12-25,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-25,2014-12-25
2014-12-26,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-26,2014-12-26
2014-12-27,,,,,495.0,,,,100.0,0.0,,,,Sell,2014-12-27,2014-12-27
2014-12-28,,,,,495.0,,,,100.0,0.0,,,,Sell,2014-12-28,2014-12-28
2014-12-29,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-29,2014-12-29
2014-12-30,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2014-12-30,2014-12-30
2014-12-31,,,,,495.0,,,,100.0,0.0,,,,Sell,2014-12-31,2014-12-31
2015-01-01,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-01,2015-01-01
2015-01-02,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-02,2015-01-02
2015-01-03,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-03,2015-01-03
2015-01-04,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-04,2015-01-04
2015-01-05,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-05,2015-01-05
2015-01-06,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-06,2015-01-06
2015-01-07,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-07,2015-01-07
2015-01-08,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-08,2015-01-08
2015-01-09,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-09,2015-01-09
2015-01-10,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-10,2015-01-10
2015-01-11,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-11,2015-01-11
2015-01-12,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-12,2015-01-12
2015-01-13,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-13,2015-01-13
2015-01-14,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-14,2015-01-14
2015-01-15,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-15,2015-01-15
2015-01-16,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-16,2015-01-16
2015-01-17,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-17,2015-01-17
2015-01-18,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-18,2015-01-18
2015-01-19,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-19,2015-01-19
2015-01-20,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-20,2015-01-20
2015-01-21,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-21,2015-01-21
2015-01-22,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-22,2015-01-22
2015-01-23,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-23,2015-01-23
2015-01-24,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-24,2015-01-24
2015-01-25,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-25,2015-01-25
2015-01-26,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-26,2015-01-26
2015-01-27,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-27,2015-01-27
2015-01-28,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-28,2015-01-28
2015-01-29,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-29,2015-01-29
2015-01-30,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-01-30,2015-01-30
2015-01-31,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-01-31,2015-01-31
2015-02-01,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-01,2015-02-01
2015-02-02,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-02,2015-02-02
2015-02-03,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-03,2015-02-03
2015-02-04,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-04,2015-02-04
2015-02-05,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-05,2015-02-05
2015-02-06,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-06,2015-02-06
2015-02-07,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-07,2015-02-07
2015-02-08,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-08,2015-02-08
2015-02-09,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-09,2015-02-09
2015-02-10,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-10,2015-02-10
2015-02-11,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-11,2015-02-11
2015-02-12,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-12,2015-02-12
2015-02-13,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-13,2015-02-13
2015-02-14,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-14,2015-02-14
2015-02-15,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-15,2015-02-15
2015-02-16,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-16,2015-02-16
2015-02-17,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-17,2015-02-17
2015-02-18,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-18,2015-02-18
2015-02-19,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-19,2015-02-19
2015-02-20,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-20,2015-02-20
2015-02-21,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-21,2015-02-21
2015-02-22,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-22,2015-02-22
2015-02-23,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-23,2015-02-23
2015-02-24,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-24,2015-02-24
2015-02-25,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-25,2015-02-25
2015-02-26,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-26,2015-02-26
2015-02-27,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-02-27,2015-02-27
2015-02-28,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-02-28,2015-02-28
2015-03-01,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-01,2015-03-01
2015-03-02,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-02,2015-03-02
2015-03-03,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-03,2015-03-03
2015-03-04,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-04,2015-03-04
2015-03-05,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-05,2015-03-05
2015-03-06,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-06,2015-03-06
2015-03-07,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-07,2015-03-07
2015-03-08,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-08,2015-03-08
2015-03-09,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-09,2015-03-09
2015-03-10,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-10,2015-03-10
2015-03-11,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-11,2015-03-11
2015-03-12,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-12,2015-03-12
2015-03-13,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-13,2015-03-13
2015-03-14,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-14,2015-03-14
2015-03-15,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-15,2015-03-15
2015-03-16,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-16,2015-03-16
2015-03-17,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-17,2015-03-17
2015-03-18,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-18,2015-03-18
2015-03-19,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-19,2015-03-19
2015-03-20,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-20,2015-03-20
2015-03-21,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-21,2015-03-21
2015-03-22,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-22,2015-03-22
2015-03-23,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-23,2015-03-23
2015-03-24,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-24,2015-03-24
2015-03-25,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-25,2015-03-25
2015-03-26,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-26,2015-03-26
2015-03-27,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-27,2015-03-27
2015-03-28,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-28,2015-03-28
2015-03-29,,,,,495.0,,,,100.0,0.0,,,,Sell,2015-03-29,2015-03-29
2015-03-30,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-30,2015-03-30
2015-03-31,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-03-31,2015-03-31
2015-04-01,495.0,495.0,495.0,,495.0,,,,100.0,0.0,,,,Sell,2015-04-01,2015-04-01
